ID,Search Name,Name,Vintage,Country,Region,Winery,Price,Currency,Flavor,Acidity,Intensity,Sweetness,Tannin,Sparkling,Image Link,Grapes,Wine Style,Alcohol Content,Food Pairings,URL
73478,chateau-la-lagune-haut-medoc-haut-medoc-3eme-grand-cru-classe-en-1855-1974,Château La Lagune Haut-Médoc (3éme Grand Cru Classé en 1855) 1974,1974,France,Haut-Médoc,Château La Lagune,269279,₩,[],4.1716022,4.124867,1.6406207,4.1625347,,//images.vivino.com/thumbs/5PmFq7XiRCWHNs2QL_A_8A_pb_x600.png,[],[],[],[],https://www.vivino.com/w/73478?year=1974
73478,chateau-la-lagune-haut-medoc-haut-medoc-3eme-grand-cru-classe-en-1855-1968,Château La Lagune Haut-Médoc (3éme Grand Cru Classé en 1855) 1968,1968,France,Haut-Médoc,Château La Lagune,333056,₩,[],4.1716022,4.124867,1.6406207,4.1625347,,//images.vivino.com/thumbs/5PmFq7XiRCWHNs2QL_A_8A_pb_x600.png,[],[],[],[],https://www.vivino.com/w/73478?year=1968
3390935,la-volpe-one-uno-primitivo-di-manduria-2013,Masseria La Volpe 1 Uno Primitivo di Manduria 2013,2013,Italy,Primitivo di Manduria,Masseria La Volpe,100000,₩,[],1.9098595,3.9730062,3.007305,2.2296314,,//images.vivino.com/thumbs/-E6x68ySQLy-3SDbEy51aQ_pb_x600.png,[],[],[],[],https://www.vivino.com/w/3390935?year=2013
18555,chateau-gazin-pomerol-1966,Château Gazin Pomerol 1966,1966,France,Pomerol,Château Gazin,283452,₩,[],3.4031703,4.2218285,1.6611894,3.547954,,//images.vivino.com/thumbs/4fTn5zJRTAWUdX9cnng2NQ_pb_x600.png,[],[],[],[],https://www.vivino.com/w/18555?year=1966
2273763,mascota-vineyards-mendoza-unanime-gran-vino-tinto-2017,Mascota Vineyards Unánime Gran Vino Tinto 2017,2017,Argentina,Mendoza,Mascota Vineyards,120000,₩,[],3.878403,4.820967,1.5441176,3.5244608,,//images.vivino.com/thumbs/qj65DvSbSteYib4yYFu-_A_pb_x600.png,[],[],[],[],https://www.vivino.com/w/2273763?year=2017
3390935,la-volpe-one-uno-primitivo-di-manduria-2018,Masseria La Volpe 1 Uno Primitivo di Manduria 2018,2018,Italy,Primitivo di Manduria,Masseria La Volpe,100000,₩,[],1.9098595,3.9730062,3.007305,2.2296314,,//images.vivino.com/thumbs/ygTg4K4vR5GYCjWTFocWng_pb_x600.png,[],[],[],[],https://www.vivino.com/w/3390935?year=2018
89624,chateau-dassault-saint-emilion-grand-cru-grand-cru-classe-1979,Château Dassault Saint-Émilion Grand Cru (Grand Cru Classé) 1979,1979,France,Saint-Émilion Grand Cru,Château Dassault,212589,₩,[],3.379696,4.2845025,1.5980608,3.5767508,,//images.vivino.com/thumbs/yl3vWyVISGqXs-ZM__S45g_pb_x600.png,[],[],[],[],https://www.vivino.com/w/89624?year=1979
89624,chateau-dassault-saint-emilion-grand-cru-grand-cru-classe-1962,Château Dassault Saint-Émilion Grand Cru (Grand Cru Classé) 1962,1962,France,Saint-Émilion Grand Cru,Château Dassault,375574,₩,[],3.379696,4.2845025,1.5980608,3.5767508,,//images.vivino.com/thumbs/yl3vWyVISGqXs-ZM__S45g_pb_x600.png,[],[],[],[],https://www.vivino.com/w/89624?year=1962
1659,antinori-tuscany-tenuta-guado-al-tasso-il-bruciato-bolgheri-2018,Antinori Tenuta Guado al Tasso Il Bruciato Bolgheri 2018,2018,Italy,Bolgheri,Antinori,80000,₩,[],3.4086227,3.9669795,1.6832414,3.811573,,//images.vivino.com/thumbs/YPeYW5oyS-KTDLu8oPJcSA_pb_x600.png,[],[],[],[],https://www.vivino.com/w/1659?year=2018
98618,chateau-rouget-pomerol-1972,Château Rouget Pomerol 1972,1972,France,Pomerol,Château Rouget,262193,₩,[],3.3479204,4.330541,1.7361448,3.5080853,,//images.vivino.com/thumbs/8t6iwH_ST-WLk_jLyX9J5g_pb_x600.png,[],[],[],[],https://www.vivino.com/w/98618?year=1972
98618,chateau-rouget-pomerol-1974,Château Rouget Pomerol 1974,1974,France,Pomerol,Château Rouget,162985,₩,[],3.3479204,4.330541,1.7361448,3.5080853,,//images.vivino.com/thumbs/8t6iwH_ST-WLk_jLyX9J5g_pb_x600.png,[],[],[],[],https://www.vivino.com/w/98618?year=1974
1166077,black-stallion-cabernet-sauvignon-2016,Black Stallion Cabernet Sauvignon 2016,2016,United States,Napa Valley,Black Stallion,79867,₩,[],3.4006207,4.7185235,1.6473866,3.3825443,,//images.vivino.com/thumbs/EuImGKoYR9C0I78cIUZGVA_pb_x600.png,[],[],[],[],https://www.vivino.com/w/1166077?year=2016
1205288,st-georges-saint-georges-saint-emilion-1965,Château St. Georges Saint-Georges-Saint-Émilion 1965,1965,France,Saint-Georges-Saint-Émilion,Château St. Georges,382660,₩,[],3.4397416,4.23802,1.454468,3.3722603,,//images.vivino.com/thumbs/CX0AiLswQoCkjOVDlQfvsA_pb_x600.png,[],[],[],[],https://www.vivino.com/w/1205288?year=1965
82469,larcis-ducasse-saint-emilion-grand-cru-premier-grand-cru-classe-1985,Château Larcis Ducasse Saint-Émilion Grand Cru (Premier Grand Cru Classé) 1985,1985,France,Saint-Émilion Grand Cru,Château Larcis Ducasse,375574,₩,[],3.420119,4.223732,1.799372,3.5545247,,//images.vivino.com/thumbs/TE0OCfuPR8qEcYAyw_PwDQ_pb_x600.png,[],[],[],[],https://www.vivino.com/w/82469?year=1985
5080,tenuta-san-guido-guidalberto-2017,Tenuta San Guido Guidalberto 2017,2017,Italy,Toscana,Tenuta San Guido,110000,₩,[],3.1508956,3.3370786,1.6310694,2.95592,,//images.vivino.com/thumbs/jcRAMq8oSRiFUJVq9wE-GQ_pb_x600.png,[],[],[],[],https://www.vivino.com/w/5080?year=2017
84760,domaine-saint-prefert-chateauneuf-du-pape-1990,Domaine Saint Préfert Châteauneuf-du-Pape 1990,1990,France,Châteauneuf-du-Pape,Domaine Saint Préfert,127553,₩,[],3.081591,4.5788918,1.4908568,2.848581,,//images.vivino.com/thumbs/I-77x4M3RLOocax4HZo1pw_pb_x600.png,[],[],[],[],https://www.vivino.com/w/84760?year=1990
1105300,chateau-bellegrave-pomerol-chateau-bellegrave-pomerol-1987,Château Bellegrave Pomerol 1987,1987,France,Pomerol,Château Bellegrave,138891,₩,[],3.3506598,4.233447,1.5353578,3.4492612,,//images.vivino.com/thumbs/cyNB395OQiujyXDVv2-EBA_pb_x600.png,[],[],[],[],https://www.vivino.com/w/1105300?year=1987
1300273,chateau-l-arrosee-saint-emilion-grand-cru-grand-cru-classe-1975,Château l'Arrosee Saint-Émilion Grand Cru (Grand Cru Classé) 1975,1975,France,Saint-Émilion Grand Cru,Château l'Arrosee,205503,₩,[],3.25179,4.0204377,1.7206119,3.3589315,,//images.vivino.com/thumbs/FYSZSC8RSamOA_sBHQmoPg_pb_x600.png,[],[],[],[],https://www.vivino.com/w/1300273?year=1975
1300273,chateau-l-arrosee-saint-emilion-grand-cru-grand-cru-classe-1974,Château l'Arrosee Saint-Émilion Grand Cru (Grand Cru Classé) 1974,1974,France,Saint-Émilion Grand Cru,Château l'Arrosee,162985,₩,[],3.25179,4.0204377,1.7206119,3.3589315,,//images.vivino.com/thumbs/FYSZSC8RSamOA_sBHQmoPg_pb_x600.png,[],[],[],[],https://www.vivino.com/w/1300273?year=1974
1300273,chateau-l-arrosee-saint-emilion-grand-cru-grand-cru-classe-1970,Château l'Arrosee Saint-Émilion Grand Cru (Grand Cru Classé) 1970,1970,France,Saint-Émilion Grand Cru,Château l'Arrosee,233848,₩,[],3.25179,4.0204377,1.7206119,3.3589315,,//images.vivino.com/thumbs/FYSZSC8RSamOA_sBHQmoPg_pb_x600.png,[],[],[],[],https://www.vivino.com/w/1300273?year=1970
1137169,es-imperial-rioja-reserva-2015,Imperial Rioja Reserva 2015,2015,Spain,Rioja,Imperial,150000,₩,[],3.7038298,3.8747141,1.677506,3.7084472,,//images.vivino.com/thumbs/Si9NaUFtTMq5PvN8pT2mfA_pb_x600.png,[],[],[],[],https://www.vivino.com/w/1137169?year=2015
6367,seghesio-winery-cortina-zinfandel-2003,Seghesio Cortina Zinfandel 2003,2003,United States,Dry Creek Valley,Seghesio,72796,₩,[],2.0514503,4.7497373,2.365401,2.5487905,,//images.vivino.com/thumbs/2iwBbmJ0RnGSoTmOfBF3RA_pb_x600.png,[],[],[],[],https://www.vivino.com/w/6367?year=2003
83357,louis-m-martini-st-helena-napa-valley-cabernet-sauvignon-2016,Louis M. Martini Napa Valley Cabernet Sauvignon 2016,2016,United States,Napa Valley,Louis M. Martini,91515,₩,[],3.4288576,4.792449,1.6772972,3.494805,,//images.vivino.com/thumbs/2VMr_OpcQtyJrK8lsQR3tw_pb_x600.png,[],[],[],[],https://www.vivino.com/w/83357?year=2016
